1,1,1,
1,1,1,
0,0,1,
1,2,1,
1,1,1,
1,0,0,
1,1,1,
1,1,1,
1,1,0,
1,1,1,
1,1,0,
1,1,1,
1,1,0,
3,3,2,
1,1,0,
1,1,0,
1,1,1,
1,1,0,
0,1,0,
0,1,0,
1,1,1,
1,1,1,
2,2,1,
0,1,1,
1,1,0,
1,1,1,
1,1,0,
1,1,1,
1,1,1,
0,1,0,
1,1,0,
0,1,1,
1,0,0,
0,0,1,
0,1,1,
1,0,1,
1,1,0,
1,1,0,
0,1,1,
1,1,1,
1,1,1,
1,1,1,
1,1,0,
0,1,1,
26,26,21,
4,4,2,
6,6,2,
1,1,1,
1,1,0,
41,40,33,
1,1,1,
6,8,4,
2,0,1,
0,0,1,
1,1,1,
5,5,1,
1,1,1,
38,37,33,
4,4,2,
1,1,2,
7,8,8,
2,2,2,
0,1,1,
6,5,5,
1,1,1,
1,1,1,
0,6,5,
3,3,2,
1,1,1,
1,1,1,
4,3,4,
4,4,4,
0,0,1,
1,1,1,
3,3,2,
1,0,0,
0,1,1,
0,1,1,
1,1,1,
1,1,1,
1,1,1,
0,1,1,
1,1,1,
1,1,1,
1,1,0,
1,0,1,
1,1,1,
1,1,1,
1,1,1,
1,1,0,
2,2,1,
0,1,1,
0,1,1,
1,1,1,
1,1,0,
1,1,1,
1,1,1,
1,1,1,
0,0,1,
1,1,1,
1,1,1,
0,1,1,
0,1,1,
0,0,1,
0,1,1,
0,1,1,
1,1,1,
1,0,0,
6,6,0,
1,1,0,
1,1,1,
1,1,1,
2,2,2,
1,1,0,
3,4,3,
3,3,3,
5,5,4,
1,1,0,
1,1,1,
11,11,10,
0,1,0,
1,1,0,
1,1,1,
2,1,2,
1,1,1,
2,4,2,
1,1,1,
1,1,1,
4,3,3,
2,2,1,
1,1,1,
1,1,0,
0,1,1,
0,1,1,
1,1,0,
1,1,1,
0,1,1,
1,0,1,
0,1,1,
1,1,0,
0,0,1,
0,1,0,
1,0,1,
0,0,1,
1,1,1,
1,1,1,
1,1,1,
2,2,2,
3,3,3,
3,3,3,
1,1,1,
4,5,4,
1,1,0,
3,4,4,
1,1,0,
0,0,1,
1,1,1,
0,1,1,
0,1,0,
0,1,1,
0,1,1,
0,3,3,
1,1,1,
0,1,1,
1,1,0,
2,3,3,
1,1,1,
1,1,0,
1,4,1,
4,3,4,
7,3,5,
1,1,1,
1,1,0,
3,3,3,
1,1,1,
0,1,1,
1,1,1,
1,1,0,
0,1,1,
3,3,3,
7,7,6,
2,2,2,
4,4,4,
1,1,1,
1,1,1,
2,2,2,
0,1,0,
1,1,1,
1,1,1,
2,2,1,
1,1,1,
1,1,0,
2,2,1,
8,8,6,
1,1,1,
1,1,1,
1,1,1,
1,1,1,
2,2,2,
0,1,1,
0,0,1,
1,1,0,
0,1,1,
0,1,1,
1,1,0,
1,1,1,
1,0,0,
1,1,0,
2,0,1,
1,1,0,
0,1,1,
1,1,0,
1,1,0,
1,1,1,
1,1,0,
2,2,0,
1,1,1,
1,1,0,
5,3,1,
1,1,1,
1,1,1,
2,2,0,
1,1,1,
1,1,1,
1,1,1,
1,1,1,
1,1,0,
0,2,2,
1,1,3,
0,0,1,
0,1,1,
1,0,0,
1,1,1,
0,1,1,
1,1,0,
1,1,1,
9,9,5,
1,1,1,
5,5,3,
2,1,0,
1,1,1,
0,0,1,
1,1,1,
0,1,0,
0,1,1,
1,0,0,
1,1,1,
0,1,0,
2,2,2,
1,0,1,
1,1,1,
1,1,1,
1,1,1,
0,2,1,
1,1,0,
1,0,1,
1,1,0,
1,2,1,
6,6,2,
1,1,0,
0,1,0,
1,1,0,
1,1,0,
1,1,1,
2,1,1,
4,4,4,
1,1,1,
5,5,1,
1,1,0,
3,3,2,
1,1,1,
1,1,1,
1,1,0,
2,2,1,
0,1,0,
1,1,1,
2,2,2,
7,6,6,
7,7,6,
1,1,1,
2,2,2,
0,0,1,
6,6,6,
0,4,3,
2,2,0,
0,0,1,
0,6,2,
1,1,0,
1,1,0,
1,1,1,
2,2,1,
1,1,1,
0,1,1,
0,0,1,
0,0,1,
0,2,2,
2,1,2,
0,1,1,
0,1,0,
0,1,0,
0,1,4,
0,1,0,
0,0,1,
1,1,0,
0,1,0,
0,1,1,
0,1,0,
1,1,0,
1,2,1,
1,1,0,
1,0,0,
13,13,10,
7,7,5,
1,1,1,
14,13,11,
1,1,0,
25,20,17,
11,10,11,
1,1,1,
1,1,0,
0,1,1,
1,0,0,
1,1,1,
2,1,1,
4,3,2,
1,0,1,
2,1,2,
1,0,1,
0,1,1,
2,2,1,
1,1,1,
1,1,1,
1,1,0,
2,2,2,
1,0,0,
1,0,1,
1,1,1,
1,1,1,
1,1,0,
1,1,0,
2,2,1,
1,1,1,
1,1,1,
1,1,1,
1,1,0,
1,1,1,
1,1,0,
1,1,1,
1,1,0,
1,1,1,
1,0,0,
1,1,1,
1,0,0,
0,0,1,
1,0,0,
0,1,0,
0,1,0,
0,0,1,
0,1,0,
0,1,1,
0,1,1,
1,1,0,
2,1,1,
1,1,1,
1,1,1,
0,1,1,
1,1,1,
1,1,1,
2,2,1,
1,1,3,
0,1,0,
10,11,9,
1,1,0,
2,2,0,
1,2,2,
1,0,1,
0,0,1,
1,1,1,
2,2,1,
1,0,0,
6,4,5,
0,1,0,
1,1,1,
0,2,2,
0,2,0,
1,1,1,
2,2,2,
1,1,1,
8,8,6,
3,3,3,
1,1,1,
3,3,2,
1,1,1,
15,15,14,
0,0,1,
3,3,3,
2,2,2,
1,1,0,
1,0,1,
1,0,1,
1,1,0,
1,1,1,
2,1,1,
1,2,4,
2,2,2,
1,2,2,
7,8,5,
1,1,1,
0,0,1,
5,5,3,
13,15,13,
1,1,0,
1,0,1,
6,5,3,
0,0,2,
14,13,0,
1,1,1,
2,2,0,
0,1,1,
0,1,1,
0,1,1,
0,1,1,
2,2,2,
1,1,0,
1,1,0,
1,1,1,
1,1,1,
40,40,38,
0,0,1,
36,33,31,
2,2,2,
